id,sentence
69,"Elle assurait ainsi à la fois leur repos et leur richesse ; pourtant ils évitaient de jamais pénétrer plus loin que sa lisière, où les troncs espacés leur permettaient d'apercevoir encore derrière eux leurs champs et leurs maisons, et ses profondeurs mystérieuses leur étaient une source de terreur."
70,N'importe quoi.
71,"Le numéro un mondial a facilement remporté la finale, en seulement trois manches et à peine deux heures de jeu."
72,Les femmes scientifiques peinent à être reconnues socialement.
73,Elle a passé la nuit à réviser le rapport annuel.
74,"La manière dont on traite les bisons est celle dont on traite les Indiens, dit Rosalie."
75,"Je vois bien que tu es triste, tu ne dis rien, tu ne souris pas."
76,Quelle situation étrange
77,"Nommée en juillet 2020, l'ex-députée de la Somme joue gros avec l'examen du projet de loi Climat et résilience en commission spéciale à l'Assemblée nationale, à partir du lundi 8 mars."
78,"Ils ne trouvent pas qui c'est, alors ils nous font tous payer, c'est dégueulasse !"
79,"Si ce détestable virus a eu quelques effets bénéfiques, ce fut en prison."
80,"Moi, c'est que par rapport à mon nom de famille"
81,J'adore cette petite histoire.
82,Nous somment conscients de la difficulté de l'expédition et nous en assumons les risques.
83,L'Esprit de l'hiver décide de punir les arbres qui n'ont pas apporter de l'aide à l'oiseau.
84,Elle a posé son sac sur une chaise.
85,"La définition est claire, simple et pourtant, il semble que cette définition ait évolué depuis le 9 décembre 1905, date à laquelle la loi de la séparation des Églises et de l'État a été adoptée."
86,J'ai eu une réunion hier où nous avons pris plusieurs décisions avec notre partenaire brésilien
87,Ce qui entraîne donc une capacité à apprendre les langues étrangères
88,"En 2017, 34, 6% de la population vit dans un ménage avec au moins un crédit (leasings, petits crédits ou crédits à la consommation, achats par acomptes, dettes auprès de la famille ou amis ne vivant pas dans le ménage et hypothèques sur le logement secondaire)."
89,Cet homme n'hésitera pas à accueillir les hôtes qui se présentent chez lui au risque de perdre la vie.
90,"Asiles, fermes, bistrots, musées s'entrecroisent, dans un mouvement de balancier entre des descriptions sordides et des périodes plus apaisées, fournies par une journée réussie de mendicité ou les excentricités du poète anarchiste Emil Szittya, rencontré à Stuttgart."
91,"Le lundi, David reste toute la journée à l'école. Souvent, le soir, il pratique une activité musicale : le piano."
92,"Son nom d'emprunt est un jeu de mots qu'il qualifie de nom juif lui servant à mieux attirer des clients : ""It's all good, man!"" devient alors ""Saul Goodman""."
93,"On peut voir se succéder la naissance de l'univers, l'évolution de l'espèce humaine puis des innovations technologiques qui conduisent jusqu'à l'appartement des jeunes surdoués, où les cinq personnages mangent ensemble."
94,Parfois l'activité peut se faire à domicile.
95,C'était sa façon de le récompenser pour sa gentillesse envers le petit oiseau.
96,La fée est réapparue une deuxième fois dans la forêt.
97,"Oui, mais ce n'est pas trop long ?"
98,"Ils viennent dans une salle de spectacle, avec des rideaux qui s'ouvrent, avec des couleurs, avec une mise en scène, avec des bulles, avec des flammes, avec de la fumée."
99,"Toutes ces raisons font que le bilinguisme breton-français me paraît particulièrement défendable ici, sans compter les avantages que j'ai mentionnés pour un enfant qui commence très tôt son immersion dans une grande et belle langue celtique"
100,Cette option ferait partie des pistes du rapport sur l'avenir des retraites qui doit être officiellement remis la semaine prochaine et sur lequel va s'appuyer le gouvernement pour sa réforme prévue d'ici la fin de l'année
101,"Pour y remédier, à leur échelle, des militants ont commencé à organiser leurs propres filières d'importation dès la fin des années 1960."
102,Je m'inquiète beaucoup pour notre relation.
103,Il décide d'aller voir de plus près . Vous avez choisi votre plus beau fauteuil ?
104,On définit une contrainte comme étant est une chose imposée par l'extérieur contre la volonté d'un individu
105,Le tas de rats tentés tâta le tas de riz tantant.
106,D'autres sont plus critiques.
107,"Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter"
108,"Vous savez, je ne l'utilise que pour les cas d'urgence !"
109,On rencontra une seconde tempête ; elles sont terribles et imprévues sur ce beau lac : des rafales de vent sortent à l'improviste des deux gorges de montagnes placées dans des directions opposées et luttent sur les eaux.
110,La prise en compte de ces exigences nécessitera de construire de nouvelles infrastructures.
111,La plage est pleine de Marseillais et de touristes
112,"Une cicatrice profonde partageait sa figure en deux, depuis les cheveux jusqu'au cou ; et l'affreuse mutilation lui donnait un aspect terrible."
113,Ces avantages en font une solution technique séduisante ; il trouve une large gamme d'applications dans tous les domaines des transports.
114,"L'apprentissage du code, et plus largement d'une culture générale du numérique, à l'école est une mesure réclamée depuis longtemps par l'Académie des sciences, soutenue par des acteurs qui comptent dans le secteur numérique."
115,Le ciel est également scruté mais pour des raisons ici scientifiques.
116,Cette question a notamment été posée en France de façon emblématique lors de la privatisation de THOMSON Multimédia au milieu des années 1990
117,"Bon, peut-être qu'il y en pas encore beaucoup mais de plus en plus."
118,"Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine."
119,"Les grands ports, comme Liverpool, Hambourg, Bordeaux et Marseille, sont eux aussi des centres culturels et intellectuels."
120,Je me prèpare d'abord et je prends mon petit déjeuner ensuite.
121,"En fait, j'étais végétarien pendant longtemps, mais j'ai fini par changer de régime, parce qu'à mon avis, les plats végétariens ont un goût fade."
122,"L'après-midi je me promène aux Tuileries, paradis de verdure au coeur de la capitale"
123,"En deux décennies, les ours asiatiques ont quasiment disparu, en raison de l'attrait que représentent leurs pattes, pour la gastronomie, et leur vésicule biliaire, réputée aphrodisiaque."
124,Alors on se tient au courant pour samedi prochain ?
125,"Les dernières études d'imagerie cérébrale confirment qu'il y aurait bien une différence, non de capacité, mais de ""fonctionnement"" du cerveau des hommes et des femmes, en fonction de leurs centres d'intérêt."
126,"Disciple enthousiaste de Jean-Jacques Rousseau, il avait des tendresses d'amant pour la nature, les champs, les bois, les bêtes."
127,"Devenu une curiosité parisienne, l'établissement attirait une foule de gens venus observer le spectacle à travers d'épais rideaux."
128,"Ils insistent cependant afin que les animaux soient chassés seulement selon la méthode 'traditionnelle, ' ce qui exclut l'emploi de fusils de haute portée ou de bateaux mécanisés."
129,"A grands coups de rouleau monté sur une immense perche, des membres de Greenpeace ont partiellement repeint en vert un avion Air France stationné à l'aéroport Paris-Charles-de-Gaulle à Roissy, ce vendredi matin."
130,C'est mon dernier jour dans cette école.
131,"J'ai préparé le repas, il est dans la cuisine."
132,"Les terrains conflictuels existent, mais l'aventure est d'autant plus exaltante."
133,Je me fus lourdement trompé dans mon calcul .
134,L'activité dépendante présuppose un rapport de subordination de l'employé qui se soumet aux instructions de l'employeur.
135,Les resultats experimentaux montrent que le micro beton est defini par un état caracteristique qui separe deux types de comportement rheologique.
136,C'est ce que j'ai cru comprendre.
137,"Beaucoup s'interdisent, sans en avoir conscience, les filières dites ""masculines"" - les sciences, surtout - convaincues qu'elles ne seront pas à la hauteur."
138,Je n'ai eu aucune nouvelle de lui depuis son départ.
139,Quel est l'objet que le berger doit jeter au cou du dragon ?
140,Je ne cherche pas quelque chose de précis
141,"Bien qu'attirant pour de nombreux scientifiques et une mesure par défaut pour les dirigeants politiques craignant une responsabilité juridique pour des réponses nationales lentes ou indécises, son utilisation doit être réexaminée, uniquement pour être utilisée en dernier recours."
142,"Concentrés toute l'année sur les résultats scolaires de leurs enfants, les parents ne sont pas prêts à laisser les bains de mer ou de soleil délaver les tables de multiplication, les plus-que-parfait de l'indicatif et autres théorèmes de géométrie si chèrement acquis."
143,"Car souvent dans l'une on trouve égaré un jour d'une autre, qui nous y fait vivre, en évoque aussitôt, en fait désirer les plaisirs particuliers et interrompt les rêves que nous étions en train de faire, en plaçant plus tôt ou plus tard qu'à son tour ce feuillet détaché d'un autre chapitre, dans le calendrier interpolé du bonheur ; mais bientôt, comme ces phénomènes naturels dont notre confort ou notre santé ne peuvent tirer qu'un bénéfice accidentel et assez mince jusqu'au jour où la science s'empare d'eux et, les produisant à volonté, remet en nos mains la possibilité de leur apparition, soustraite à la tutelle et dispensée de l'agrément du hasard, de même la production de ces rêves d'Atlantique et d'Italie cessa d'être soumise uniquement aux changements des saisons et du temps."
144,"Malgré les gains de productivité, la sous-alimentation affecte 840 millions de personnes."
145,"Il s'offre les meilleurs guides, gravit les montagnes, s'épanouit."
146,Je te quitte pour aller travailler. Bonne visite.
147,"Les langues ne sont pas seulement le moyen privilégié de communication entre les humains, elles incarnent la vision du monde de leurs locuteurs, leurs imaginaires, leurs façons de véhiculer le savoir."
148,Une perspective quasi inconcevable dans un Congrès aussi divisé.
149,"On n'est pas très fiers parce que de temps en temps, quand elles se bagarrent, on[ne] veut pas dire que Patricia se bagarre avec Agnès ou avec Valérie ou Michèle ou Aude ! [Elle rit]"
150,"Emus, les journalistes ont suggéré l'idée de célébrer les mères en Egypte, puis la fête s'est propagée vers d'autres pays arabes."
151,Au rythme d'une vingtaine de terrains de football par minute.
152,Ça me sert à rien.
153,Il préfère quand les sommes ne sont pas arrondies.
154,Y a-t-il un problème avec votre table ?
155,"Laissez-moi vous dire d'abord que beaucoup de gens parlaient français ; n'oubliez pas que le français s'est imposé comme langue de l'administration au XVIe siècle, au traité de Villers-Cotteret."
156,"En parallèle des inhumations animales liées au sacré et aux rites magiques, il existait donc en Égypte antique de simples tombes de chiens et de chats apprivoisés."
157,Ce qui est faux.
158,Tu es vraiment la bienvenue.
159,"Comme c'est proche de la maison, je peux y aller à pied, c'est très agréable"
160,"Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France"
161,Vous rentrez à quelle heure ?
162,"La plupart du temps vous êtes à la maison, donc les suites des interventions sont beaucoup plus faciles"
163,Le maréchal-ferrant et le cocher ont dû se reconvertir.
164,"Etude de la transmission par greffage de multiplication dans les plantes hotes, du pouvoir pathogene et de la capacite de cette souche a premunir."
165,"Les paiements compensatoires sont par exemple les impôts et taxes spécifiques liés au transport, versés par les usagers des transports aux pouvoirs publics, les paiements des voyageurs aux entreprises de transport sous forme de billets et d'abonnements, ou les indemnisations versées par les pouvoirs publics aux entreprises de transport."
166,Julie est à Lausanne pour un mois.
167,S'impliqueront-ils dans la vie sociale du collège?
168,"À Paris, première ville touristique au monde, sur le parvis de Notre-Darne, la file des touristes s'allonge alors qu'un seul guichet est ouvert"
169,Nous avons remarqué quelques irrégularités dans la procédure.
170,Ce calme pourtant dura peu.
171,"Une nuit enfin, quelque dieu lui permit un rêve."
172,D'où viens-tu ?
173,C'est pas possible de leur faire faire n'importe quoi.
174,Bons baisers de la Réunion où nous passons quelques jours de vacances.
175,"Paradoxalement, les obligations réglementaires très strictes facilitent le développement de la sous-traitance et renforceront par conséquent notre dynamisme économique."
176,Cette série documentaire en trois volets retrace un siècle d'histoire de la Chine en détaillant son ascension vers le statut de superpuissance
177,"Les militaires y saluent le Président de la République, son gouvernement, les principales autorités de l'État, le corps diplomatique ainsi que des personnalités politiques étrangères invitées pour l'occasion"
178,"En 1999, il m'a proposé de devenir chef du service politique."
179,"Expérience qu'il ne put mener à bien, mais qu'il y avait déjà bien du mérite à concevoir: Réaumur est le premier biologiste qui ait tenté de prolonger la vie d'un mammifère en lui imposant une torpeur artificiellement entretenue."
180,"Peux-tu me donner l'heure du déjeuner, la date et l'adresse de ton appartement"
181,"Enfin, tandis que les deux rois faisaient chanter des Te Deum chacun dans son camp, il prit le parti d'aller raisonner ailleurs des effets et des causes."
182,"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dans les rayons"
183,"C'était ce que je chantais le matin sous la douche, c'était l'objet de mes prières, ma priorité numéro un."
184,"Pour ses défenseurs, le projet pourrait permettre d'adapter les pratiques scolaires au monde professionnel."
185,"Si vous êtes au nord de Nowra, trouvez un refuge, car le feu arrive"
186,"Le mardi ressemble au lundi sauf qu'il n'y a pas d'activité après l'école, David rentre chez lui pour faire ses devoirs et se reposer"
187,"De cette première rencontre, j'ai un souvenir aussi confus que précis."
188,"Les grandes puissances étaient collectivement responsables de la paix et du repos de l'Europe; elles se concertaient en permanence pour régler les problèmes, ou au moins pour éviter qu'ils ne débouchent sur une guerre généralisée."
189,"Ce qui est le pur subjectif tend à s'objectiver, devient langage, temple, fête, individu."
190,Nous écoutons de la musique.
191,"Au départ, c'est sa cheffe qui devait traverser l'Atlantique, se réjouissant que ""les Français aiment les femmes mûres, la preuve : leur président est jeune, sexy et il a épousé sa prof""."
192,Le public découvre dans un magazine hebdomadaire les premières nouvelles mettant en scène le fameux détective et son fidèle Watson
193,"Par ailleurs, Yolande, qui habite à Paris, nous explique que son quotidien est devenu très difficile en raison des locations saisonnières : Les arrivées et départs à n'importe quelle heure de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l'immeuble avec leurs valises."
194,"Dans le domaine de la publicité, il peut vendre des espaces publicitaires."
195,Tu veux me montrer les lignes de code ?
196,La Révolution française étend ce système de recrutement à l'ensemble des administrations techniques en suscitant la création de l'École polytechnique en 1794.
197,"Par exemple, choisissez deux pantalons, deux robes, mais allez-y franco sur le haut"
198,"Les uns allaient rendre leurs armes ; d'autres, qui les avaient abandonnées déjà, marchaient silencieusement, les mains ballantes."
199,"""J'ai vraiment dû beaucoup insister pour être choisi ! rapporte Monsieur."
200,Les Inuits espèrent pouvoir s'appuyer sur un rapport qui sera remis en septembre 2004 aux huit pays du Conseil de l'Arctique.
201,On voit grandir une masse d'ouvrier spécialisé de l'informatique qui alimentent les tuyaux de l'information rapide.
202,Pierre est un jeune garçon de 14 ans.
203,Tu gagnes de l'argent.
204,"Chaque jour je fixais le lendemain comme l'époque invariable d'une déclaration positive, et chaque lendemain s'écoulait comme la teille."
205,"Son mari, lui, n'aime pas beaucoup la mer"
206,"Lundi, je suis resté à la bibliothèque jusqu'à la fermeture."
207,"La Loire à vélo, c'est près de 900 kilomètres de pistes aménagées le long du fleuve."
208,J'aime bien ce film de 1964 parce que j'aime bien les comédies
209,Es-tu prêt?
210,Il enlève (ne garde pas) ses chaussures et marche longtemps au bord de l'eau
211,"Je suis une fille, je suis française et j'ai treize ans"
212,Elle s'est formée à l'histoire de l'art à l'âge de 30 ans.
213,"En effet, Monsieur Helmut Kohl donne priorité aux Allemands de l'Est."
214,"Ces chocolats, coulés en forme d'oeufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes : c'est la ""chasse aux oeufs""."
215,Car cela réduit la diversité de notre planète.
216,lle vient de lancer une consultation publique sur le sujet.
217,"Sont considérés comme ""arriérés de paiement"" les impayés ou les retards de paiement dans les cas suivants: loyer ou intérêts hypothécaires sur le logement principal, factures d'eau, d'électricité, de gaz et de chauffage, primes d'assurance-maladie, remboursement de crédits et impôts."
218,C'est génial que tu puisses le rencontrer!
219,Le tableau de Fontana qui était dans les collections du musée depuis 2003 vient d'être dérobée.
220,Combien de temps duraient les missions des hommes envoyés dans la forêt ?
221,"Acheter français, devient un acte écologique car acheter des produits français sous-entendrait acheter des produits qui n'ont pas été fabriqués à l'autre bout du monde, et ainsi faire baisser la pollution en limitant le transport des marchandises, en diminuant leur empreinte carbone"
222,Je vais aller vérifier.
223,"Elle était demeurée jusqu'à douze ans dans la maison, puis, malgré les pleurs de la mère, elle fut mise au Sacré-Coeur."
224,Papa est en voyage jusqu'à demain.
225,"Ils venaient se délasser dans les beaux-arts des inquiétudes de la vente ; mais, n'oubliant point les affaires, ils causaient encore cotons, trois-six ou indigo."
226,Je sais que tu ne connais pas Paris alors je te propose de venir passer quelques jours chez moi.
227,N'essayez pas de tout comprendre dès la première écoute.
228,"Et vous l'utilisez, un peu, beaucoup ou rarement ?"
229,"Cet après-midi, mes amis et moi allons au cinéma."
230,"Temps de course : soixante-quatorze jours, trois heures, trente-cinq minutes, quarante-six secondes"
231,Je voyais de loin la petite masse sombre du rocher entourée d'un halo aveuglant par la lumière et la poussière de mer.
232,"Comment penser les conséquences d'une authentique libération de l'homme dans ses interactions morales, sociales et politiques"
233,Il lui conseille de marcher pendant deux jours.
234,Il a précisé qu'il partait en vacances dès demain.
235,"Au programme, organisez un blind test et un karaoké en classe avec les artistes francophones des années 1960 et d'aujourd'hui."
236,"Vous eussiez dit deux éclairs bleuâtres, pareils aux épars, non suivis de tonnerre, qui labourent parfois les firmaments sans nuages des chaudes nuits d'été."
237,"Puis, viennent la bouche et le menton"
238,"Dès qu'il eut fini son intervention éloquante, il partit fièrement."
239,J'errais sans cesse devant la porte d'Ellénore.
240,"Selon effectivement mon état d'esprit du moment, avec l'expérience, le fil du temps, je sais ce que je veux en tous cas"
241,"On peut encore se promener dans les bois, et admirer toutes les couleurs chaleureuses comme le rouge, l'orange et le jaune"
242,Je t'appelle demain
243,Je ne pourrai pas venir demain avec toi faire du vélo
244,Toujours aucune trace du braqueur de la banque.
245,"Bonjour mademoiselle, qu'est-ce que je vous sers ?"
246,"Les garçons, vous auriez déçu vos parents, si vous aviez échoué."
247,Il faut planter deux arbres pour piéger les rejets liés au voyage aller-retour en avion d'une personne entre Milan et New York.
248,Je voudrais remercier ma mère à laquelle je dois tout.
249,Le but: Interdire aux jeunes de certains quartiers de sortir entre minuit (parfois 22 heures) et 6 heures du matin s'ils ne sont pas accompagnés d'un adulte.
250,"Nous ne voulions pas d'ascenseur, mais un voisin qui loue son appartement en voulait absolument un pour attirer les touristes."
251,"Depuis quelques années, on enregistre une augmentation de la violence chez les jeunes."
252,Max ira à l'université l'année prochaine.
253,Ces derniers sont souvent générés ou amplifiés par une société toujours plus individualiste et ambivalente.
254,"Dans la série Real Humans, des hommes tombent amoureux de leur robot."
255,"Et les étoffes vivaient, dans cette passion du trottoir : les dentelles avaient un frisson, retombaient et cachaient les profondeurs du magasin, d'un air troublant de mystère ; les pièces de drap elles-mêmes, épaisses et carrées, respiraient, soufflaient une haleine tentatrice ; tandis que les paletots se cambraient davantage sur les mannequins qui prenaient une âme, et que le grand manteau de velours se gonflait, souple et tiède, comme sur des épaules de chair, avec les battements de la gorge et le frémissement des reins."
256,Je crois que vous savez que Christian est malade et que nous ne connaissons pas pour l'instant la durée de son absence.
257,Je porte un pantalon.
258,Jean va tous les jours à la plage
259,"Le départ de Mlle Swann qui - en m'ôtant la chance terrible de la voir apparaître dans une allée, d'être connu et méprisé par la petite fille privilégiée qui avait Bergotte pour ami et allait avec lui visiter des cathédrales - me rendait la contemplation de Tansonville indifférente la première fois où elle m'était permise, semblait au contraire ajouter à cette propriété, aux yeux de mon grand-père et de mon père, des commodités, un agrément passager, et, comme fait, pour une excursion en pays de montagnes, l'absence de tout nuage, rendre cette journée exceptionnellement propice à une promenade de ce côté ; j'aurais voulu que leurs calculs fussent déjoués, qu'un miracle fît apparaître Mlle Swann avec son père, si près de nous que nous n'aurions pas le temps de l'éviter et serions obligés de faire sa connaissance."
260,Ne pas marcher dans l'herbe près du tribunal.
261,Quel rêve le prince a-t-il fait ?
262,"Oui, bien sûr !"
263,"Ce soir, nous regarderons des photos dans l'album familial et nous nous souviendrons des moments agréables."
264,Sa société a déjà embauché deux développeurs chez Sayna l'an dernier et compte bien renouveler l'expérience en 2019
265,"Cependant, l'observation microscopique a révélé une différence à l'échelle cellulaire."
266,"""Je n'ai pas l'habitude d'être en compagnie de quelqu'un vingt-quatre heures sur vingt-quatre et sept jours sur sept"", reconnaît cette chroniqueuse culinaire."
267,"Un bienfaiteur est une personne qui apporte son aide, généralement en donnant de l'argent."
268,Ils ont plus nettement tendance à considérer que les choix concernant leur vie personnelle n'ont à recevoir aucune justification ou approbation sociale.
269,"La ""marquise"" reprit un ton plus doux, car elle avait constaté que le protecteur des massifs et des pelouses l'écoutait avec bonhomie sans songer à la contredire, gardant inoffensive au fourreau une épée qui avait plutôt l'air de quelque instrument de jardinage ou de quelque attribut horticole."
270,Je fis un mouvement pour m'éloigner.
271,me répondit-elle ; et elle hésitait.
272,"Quoi qu'il arrive, il faut rester motivé."
273,"Le comte Pietranera exposa sa vie pour sauver celle du ministre, qui fut tué à coups de parapluie, et dont le supplice dura cinq heures."
274,"À droite de la table, il y a un fauteuil et sur le fauteuil il y a un blouson"
275,Les divorces grimpent en flèche.
276,"""Les jeunes filles peuvent aussi être découragées par un manque d'offre ou de créneaux horaires attrayants"", note l'Insee."
277,"Comme la conscience religieuse, la conscience morale est donc malheur."
278,"Il n'y a point d'effet sans cause, répondit modestement Candide, tout est enchaîné nécessairement et arrangé pour le mieux."
279,Un cinéaste qui adapte un livre au cinéma doit forcément prendre de la distance par rapport au livre
280,Nous allons à la plage.
281,"rène Jacob évoque son enfance à Genève (Suisse) entre ses trois frères, son père astrophysicien au CERN, qui aimait dessiner des flip books de personnages de cartoons, et sa mère qui, après quelques années passées au foyer, a repris ses études pour devenir psychothérapeute pour enfants."
282,"Tel est en tout cas l'avis d'un avocat florentin, l'honorable Alessandro Traversi, qui a invité le scientifique à représenter les intérêts de son ancêtre lors de l'examen d'une fausse requête en révision du procès de Dante."
283,"Comme ça, je pourrais l'utiliser plus souvent !"
284,"Ce dimache, c'était la fête des Mères en France."
285,Les petits jouèrent et dansèrent autour du feu de joie.
286,L'inégalité des sexes freine l'accès aux études scientifiques.
